PC1,PC2,PC3,blueWins
-373.64732768094234,-61.74948896412546,-1387.7284413317673,0.0
2151.128527844868,-1038.9013088019392,-1206.252344446419,0.0
1095.1164191325079,-453.6118314570314,-1671.672505501814,0.0
765.3973389848518,-840.445684701698,427.36935452525546,0.0
441.77498994137846,822.2791006057929,364.0728958302039,0.0
-407.545768845347,-1114.1838527573168,794.3878586456735,1.0
-1989.5764499760935,-2185.47515286843,-1719.4892842484874,1.0
1811.272902691677,-671.237959140227,-1877.378471608338,0.0
1397.3926967927632,1767.6597761124845,674.178273955019,0.0
1565.5701602755985,-1023.0192196498423,-53.38194686346672,1.0
534.0290299108483,-1827.5956251951911,33.55375454286757,0.0
1070.8895372840989,1778.4877733705623,528.4610309050123,0.0
-2549.9569458501983,-204.99823066656833,601.0940551890777,1.0
2396.421137410813,200.96934126231625,-339.0775764208371,0.0
358.2524753037914,-651.3538291301985,385.4124069725893,1.0
1907.394008465476,-608.2062164716397,194.1709585740544,0.0
-4424.294909746428,1434.018723652751,1216.1810549176078,1.0
1707.5544070196663,-1029.2842641706543,-99.77145126462742,0.0
-691.664081793026,-1357.7309564012232,-641.2979125669839,1.0
2944.08717981441,1010.8647051830561,1670.9483158796304,0.0
-2157.657881769415,1328.7646725487514,129.37489309945286,1.0
2763.239130744671,1344.0012975934785,11.19302206889106,0.0
946.0026711923438,-160.3124697769811,-74.06871819233098,0.0
-758.014820906966,-645.473714597073,1299.4064960668195,0.0
342.5339020264938,85.3060076646618,-1560.2797211389575,1.0
1843.7124856966022,-594.2644819161226,-1846.8506591385078,0.0
-692.9434993572573,11.674298877733827,-108.00794235604229,1.0
-1906.1672895169645,-286.34695522267094,174.46662501077515,0.0
-582.0678162888862,208.1260322153991,-576.7560883723291,0.0
2537.5495700430106,649.8410456753826,1037.4347312998705,0.0
-2533.0781406391366,-385.06198153193515,-1277.7271995013014,1.0
-1632.7769979631073,-2544.8182565968964,-960.2455840909804,1.0
-292.51466442851074,-1028.380109981013,-940.0525976074862,0.0
150.17271791508057,-2004.7814481806388,-1247.8546411213433,0.0
-517.8164422945009,-288.406362775425,1226.6363410195847,1.0
224.83806708650968,-2138.6218544929243,-825.078587094925,0.0
2010.4439674707935,1606.5147215468257,2208.1515975495454,0.0
1492.2446338783523,320.06537439239986,463.7229090094658,0.0
-149.23225793946125,2480.375412687062,335.66472552246,0.0
1550.0655772980776,-1018.2329468449593,-179.26065881842226,0.0
2458.919850044731,903.4311831933487,100.46542379332611,0.0
-2733.3688439027565,2121.6753994637725,570.7678696258442,1.0
-1201.433604261749,-779.9117915965397,-445.90932616390734,1.0
1226.9969696881528,-1667.876112189024,-352.90298854528777,1.0
-183.28215403621832,-221.913116814689,1563.5159398064422,0.0
5404.514315612057,-553.6834511041404,-244.01860228436345,0.0
-4298.203280578306,215.4822959551697,37.368435647515504,1.0
-2295.1100222692053,556.5149440110699,-273.3881001964205,1.0
1064.9139247034886,-3174.734808306588,-41.86991903107173,1.0
1164.2844801834124,-122.19877105406972,455.33675731718125,0.0
1018.4228335554715,784.9634486970955,-896.6640487213139,0.0
-339.7114809294801,-50.229873436407836,495.51274032887596,1.0
-1164.9574514323174,-1767.5034838698446,1128.2503451976515,1.0
-1755.4944396117226,-118.71870958212958,1562.5945390559598,1.0
-197.56404904329708,-955.6003335484146,2154.1795316984176,0.0
2662.413027450489,1404.0549452437242,1104.1024686710982,0.0
2091.0391632275728,56.60663985445404,219.16219655521436,0.0
-842.8021614278294,863.9920795116822,-375.48599272757093,1.0
27.21185876566698,244.86061802888327,561.3804965393682,1.0
-3642.0803078363833,2080.6547725238024,-240.9302256273201,0.0
1925.9606762805493,-2456.225619196299,-83.87673891458223,0.0
-190.71030975757307,-287.9644261337194,-691.3120682046977,0.0
-1425.9786840484903,570.8794274056736,1477.2081465318436,1.0
-3463.6181063126746,-181.42763694485802,467.79030793480445,1.0
4170.152987160525,-140.2131804333292,422.2881400285622,0.0
4112.086194550047,1899.7787841674108,-933.4936356741013,0.0
1752.7860088372495,-85.78690362889887,1223.4625190754741,0.0
612.9166069108504,-670.4837471673989,-234.58434301232205,0.0
87.82119640470563,-72.1345980112919,481.48871657984705,1.0
1294.7606139884097,-1409.049434758238,666.9922600038933,0.0
375.71364612674176,2057.7321658178575,-380.52956023147436,0.0
-1023.8188480765614,-2060.5190833797037,-317.1875288799751,1.0
-2862.9877626930966,-814.1601864300895,749.725829703897,0.0
2010.5639197273013,-2139.266265880308,-135.36886819677073,0.0
-844.8262031737627,5.634628912880814,1453.0673001821456,1.0
-1420.9021095134053,-2200.8806082847705,-1286.8557965637833,1.0
1155.640922524154,-177.92112079825026,1732.621939493479,0.0
-1237.427783067826,-1329.2927616282086,-1301.6549654298306,1.0
-701.0176628557329,3273.435254518634,-565.6996457255154,1.0
-1425.8497626735075,72.57268836607308,-149.77078821175874,0.0
-2203.7196914159354,2359.5248404015447,1600.9804536757688,0.0
1582.2994775685245,147.70270020094767,-220.55932018251616,0.0
-103.37648787547052,-1364.263586435813,-1064.8015229334735,0.0
-528.4019642745188,1499.5992655112354,-534.0731623292684,1.0
-693.1201409469312,1534.5043365595332,-646.0185163404858,1.0
-3388.4032101823673,-225.83012567867468,559.2444005864348,1.0
792.2221885554738,-1632.4061293832585,551.5546902723356,0.0
1777.660812791309,283.70333010193656,29.62898219006088,1.0
-2405.9258566358426,1164.6473712437692,252.77833682544372,1.0
3389.794584353217,413.54404695587755,-463.929257633387,0.0
4033.757199359631,1525.1956830600805,-363.2958399142117,0.0
98.98824924789666,-555.7993354149527,649.8121119185677,0.0
-2833.8166579333943,-1286.0030089162901,361.5548418978321,1.0
-2961.149633324516,1022.2895350330458,-829.7285249565757,1.0
696.9663660009837,2085.4113277440733,1058.973258575019,0.0
1294.9549274507958,1359.839741829052,626.6845458215206,0.0
-1202.9449849823393,-1583.0540841398101,-300.5352981305405,1.0
-1092.9891523516685,2124.3715078307655,897.6203053935595,1.0
-2748.6810263110856,2599.384898892112,931.7032605147427,1.0
1219.7972478507047,-594.0794279284961,-161.31762027784163,0.0
1140.7411540352475,-79.94629149208355,-123.10673966867755,0.0
1055.2253100918429,-1425.9069544224285,38.21836750386039,0.0
951.8307930012024,-1360.430603750471,-594.756460326475,0.0
-2500.7175305303153,-369.50548597676044,395.8614888859347,0.0
1220.1315025552594,1493.3537223798037,-430.5421408587434,0.0
-1240.6596313077357,-504.0397990877923,-75.7118318735688,0.0
4201.15828280979,2724.4034826075435,467.7015751028782,1.0
130.57910836083278,-735.6774573834018,1376.3857012630724,0.0
-1127.0136771715133,464.46294243906317,704.8439293834585,1.0
-1147.3892570218652,-172.29107374222176,1895.2012826006232,1.0
730.4978250789868,-806.2544610202856,-139.49502071864453,1.0
2490.958656553822,1117.6431618689414,611.8033381334935,0.0
