F1,F2,F3,blueWins
639.272848282768,-79.76289874920128,-98.72594784716166,0.0
-2485.5926776434244,1869.2532940066988,317.7808578129817,0.0
-1027.7285307012467,1256.912763623366,146.87802386050205,0.0
-1273.9622887959044,214.62050705981554,113.24988283341266,0.0
-120.05984631975367,774.8418218498111,95.33044089094062,0.0
-280.2695572324434,-1176.5447150571488,-77.32149694740788,1.0
1373.1178672361457,-2738.541677755521,-457.3246430521762,1.0
-1816.5270994808986,1888.8213573672424,247.87763359648224,0.0
-729.5184560322411,2159.853301051164,304.04789824991195,0.0
-2128.567489394914,1047.5891533375743,261.7214450151372,1.0
-1483.057181320458,-406.96401829050876,79.76809887006955,0.0
-354.9187249212899,1881.8617095955456,244.20859907720498,0.0
2434.5218065178087,-2800.216239554241,-443.31788689505254,1.0
-2316.9115829038547,2570.048077885382,410.1144668125109,0.0
-765.9484704749276,-79.0309577512175,54.97584523228953,1.0
-2336.9216963515173,1558.0305426246343,340.8277362930135,0.0
5063.175154582916,-3963.454004602979,-728.360857475692,1.0
-2262.462489435618,1192.8164543968094,279.0927531566265,0.0
199.64528552693815,-1260.2996963047437,-174.51555817546821,1.0
-2939.160514326323,3105.4932918116547,608.160719488076,0.0
2875.7059717644197,-1495.3139894208941,-353.7286938474951,1.0
-2260.3590542678876,3493.358333570888,547.8447583506595,0.0
-1047.7328408208814,877.8109224604391,161.0411295360795,0.0
234.64596914711882,-1418.308638549194,-137.18266404844974,0.0
27.45155219194464,736.1120723760432,4.979630155541346,1.0
-1826.7541860736426,1956.676630353842,261.84050228253216,0.0
736.6425475135924,-652.7074182613876,-115.19141262503989,1.0
1835.055940119459,-2116.2003947345106,-358.875229952722,0.0
805.3607043107687,-318.3223183128098,-95.62652839871257,0.0
-2539.5120776903855,2638.3373787550227,490.69534279347255,0.0
2726.8267679456003,-2452.1202682633393,-503.7204339451943,1.0
684.1264233429287,-2763.389107863967,-393.2030326065709,1.0
-8.649844045810623,-612.3353562554598,-94.96868163220103,0.0
-879.6469278549673,-611.2424231057316,-48.63119922874698,0.0
165.77693225171038,-966.610741885069,-80.04881990358501,1.0
-1075.2291124139247,-725.6927615178621,-52.72951041596979,0.0
-1763.4153910645937,2333.9263510450073,446.31480867692625,0.0
-1500.9930038554894,1554.4055060332441,290.0877064933399,0.0
1322.9947584552397,1046.655876865079,13.2968269119618,0.0
-2081.1352938251985,1061.659781641368,253.28554317650054,0.0
-2151.461132832287,2920.0219628898203,466.78988489898717,0.0
3772.245095172316,-1760.6117656482772,-430.37129302862695,1.0
971.9211757939773,-1505.4320634205944,-245.2229036716599,1.0
-2029.894520202695,442.99227782124706,180.7706675814921,1.0
-229.54835169202516,-672.5350360351163,-5.089117843562399,0.0
-5864.110958393796,5177.116119324436,952.0283037881065,0.0
4586.143271038633,-4204.528820742897,-767.8751666004214,1.0
2716.1015505035803,-1944.4115531264433,-405.1977986210057,1.0
-2645.2678967785077,-590.5227466863792,115.86659671446633,1.0
-1388.043220728228,1011.1752999282879,234.63305718957832,0.0
-489.6616777322321,1634.628057235463,171.12552361395342,0.0
223.85188767291993,-474.6134828620431,-45.71520312597554,1.0
134.2181616353339,-2362.7301231535876,-228.54869792645573,1.0
1458.0529676795895,-2185.460304350974,-280.48620449640674,1.0
